Marcus Morris Sr.,16000000,2
Robert Covington,12000000,2
Nicolas Batum,11277084,2
Ivica Zubac,10933333,3
Mason Plumlee,8220833,1
Amir Coffey,3666667,3
Nah'Shon Hyland,2690810,3
Terance Mann,1433534,1
Brandon Boston Jr,1441624,2
Jason Preston,1487306,2
LeBron James,42827766,1
Anthony Davis,37980720,3
D'Angelo Russell,29331375,1
Malik Beasley,15000000,2
Mohamed Bamba,10300000,2
Lonnie Walker IV,6479000,1
Rui Hachimura,5085337,1
Jarred Vanderbilt,4374000,2
Davon Reed,1984359,2
Wenyen Gabriel,954267,1
Dennis Schroder,2641682,1
Troy Brown Jr.,1968175,1
Austin Reaves,1244388,1
Max Christie,1368823,2
Jaren Jackson Jr.,26180000,4
Steven Adams,17500000,3
Tyus Jones,14500000,2
Luke Kennard,14000000,3
Ja Morant,9904960,1
Dillon Brooks,11666667,1
Ziaire Williams,4976981,3
Brandon Clarke,3038140,1
Jake LaRavia,3690842,4
David Roddy,3246472,4
John Konchar,2250000,2
Desmond Bane,2486231,2
Santi Aldama,2560843,3
Xavier Tillman,1533534,2
Kennedy Chandler,1781754,4
Jimmy Butler,35197650,1
Bam Adebayo,32600060,4
Kyle Lowry,28333334,2
Duncan Robinson,18000000,4
Victor Oladipo,9100000,2
Caleb Martin,6802950,3
Tyler Herro,4297209,1
Nikola Jovic,2875384,4
Udonis Haslem,2905851,1
Max Strus,1710908,1
Gabe Vincent,1742428,1
Haywood Highsmith,1315247,2
Omer Yurtseven,1620852,1
Giannis Antetokounmpo,45640084,4
Khris Middleton,35500000,2
Jrue Holiday,33749333,3
Brook Lopez,13000000,1
Bobby Portis,12144552,4
Jae Crowder,9720900,1
Grayson Allen,9350000,2
Joe Ingles,6479000,1
Pat Connaughton,5333333,4
MarJon Beauchamp,3152399,4
Jevon Carter,2169972,2
Thanasis Antetokounmpo,1803969,1
Wesley Matthews,2905851,1
Rudy Gobert,41000000,4
Karl-Anthony Towns,31650600,2
Mike Conley,22680000,2
Anthony Edwards,11067784,2
Kyle Anderson,9000000,2
Taurean Prince,7277500,2
Nickeil Alexander-Walker,3587278,1
Wendell Moore Jr.,2959891,4
Jaden McDaniels,2522720,2
Jordan McLaughlin,2160000,2
Jaylen Nowell,1657821,1
Naz Reid,1532398,1
Austin Rivers,2905851,1
Nathan Knight,1916664,2
Josh Minott,1736199,4
C.J. McCollum,33333333,2
Brandon Ingram,31650600,3
Jonas Valanciunas,15067500,2
Zion Williamson,11067784,1
Josh Richardson,12196094,1
Larry Nance Jr.,11200000,3
Jaxson Hayes,5529623,1
Dyson Daniels,6264987,4
Garrett Temple,5155500,2
Kira Lewis Jr.,4297209,2
Trey Murphy III,3694854,3
Willy Hernangomez,2443581,2
Herbert Jones,1773699,2
Naji Marshall,1337821,2
Jose Alvarado,1722053,3
Jalen Brunson,26000000,4
Julius Randle,29272320,4
Evan Fournier,18250000,3
Mitchell Robinson,15000000,4
Derrick Rose,14520730,2
Josh Hart,12640000,2
R.J. Barrett,8899069,1
Isaiah Hartenstein,8000000,2
Obi Toppin,5529623,2
Immanuel Quickley,2700987,2
Quentin Grimes,2782011,3
Jericho Sims,1886069,3
Miles McBride,1441624,2
Shai Gilgeous-Alexander,35859950,5
Luguentz Dort,16500000,5
Chet Holmgren,11222312,4
Dario Saric,9000000,1
Josh Giddey,6803702,3
Ousmane Dieng,5266551,4
Jalen Williams,5064229,4
Aleksej Pokusevski,3587278,2
Tre Mann,3511803,3
Jeremiah Robinson-Earl,1972150,3
Kenrich Williams,2000000,1
Jaylin Williams,2051850,4
Justin Jackson,2133278,1
Isaiah Joe,1999440,3
Aaron Wiggins,1597053,3
Eugene Omoruyi,1136503,2
Jonathan Isaac,17400000,3
Markelle Fultz,16666667,2
Wendell Carter Jr.,12500000,4
Patrick Beverley,8591954,1
Gary Harris,13000000,2
Paolo Banchero,12539692,4
Jalen Suggs,7488926,3
Franz Wagner,5695483,3
Cole Anthony,3971993,2
Chuma Okeke,3774548,2
RJ Hampton,2782354,1
Bol Bol,2200000,2
Caleb Houstan,2051850,4
Moritz Wagner,1803969,1
Goga Bitadze,1339383,2
Tobias Harris,36000000,2
Joel Embiid,29542010,1
James Harden,34320000,2
P.J. Tucker,11014500,3
De'Anthony Melton,8656922,2
Furkan Korkmaz,5000000,2
Danuel House Jr.,4207625,2
Georges Niang,3382500,1
Tyrese Maxey,3038140,2
Montrezl Harrell,2611758,2
Jaden Springer,2598371,3
Shake Milton,1664676,1
Jalen McDaniels,1532398,1
Paul Reed,1303243,1
Dewayne Dedmon,835014,1
Kevin Durant,48554830,4
Devin Booker,31650600,2
Deandre Ayton,33232282,4
Chris Paul,30000000,3
Landry Shamet,10625000,4
Cameron Payne,6333333,2
Torrey Craig,5000000,1
Darius Bazley,2865407,1
Bismack Biyombo,2905851,1
T.J. Warren,2628597,1
Damion Lee,2133278,1
Josh Okogie,1968175,1
Jock Landale,1244388,1
Terrence Ross,918516,1
Damian Lillard,44066288,3
Anfernee Simons,25000000,4
Jerami Grant,20002500,1
Jusuf Nurkic,17500000,4
Shaedon Sharpe,6835226,4
Cam Reddish,4832084,1
Matisse Thybulle,3128282,1
Nassir Little,2700987,1
Justise Winslow,4000000,1
Kevin Knox,3000000,2
Keon Johnson,3129323,3
Ryan Arcidiacono,2133278,1
Drew Eubanks,1968175,1
Trendon Watford,1456174,3
Jabari Walker,1585781,3
De'Aaron Fox,32600060,4
Domantas Sabonis,18725000,2
Harrison Barnes,21250000,1
Kevin Huerter,16250000,4
Richaun Holmes,11630640,3
Malik Monk,9709025,2
Keegan Murray,9092773,4
Davion Mitchell,5237879,3
Terence Davis,4000000,1
Alex Len,3825300,1
Trey Lyles,2562500,1
Chimezie Metu,1457885,1
KZ Okpala,1984359,2
Matthew Dellavedova,2628597,1
Kessler Edwards,1782931,2
Doug McDermott,13750000,2
Devonte' Graham,11825000,3
Zach Collins,7350000,2
Khem Birch,6667500,2
Romeo Langford,4132054,1
Jeremy Sochan,5761688,4
Devin Vassell,4648375,2
Keldon Johnson,2504346,5
Malaki Branham,3544358,4
Charles Bassey,2550000,4
Blake Wesley,3060182,4
Isaiah Roby,1682821,1
Keita Bates-Diop,1803969,1
Tre Jones,1399637,1
Gorgui Dieng,895743,1
Pascal Siakam,34226304,2
Fred VanVleet,21250000,2
Gary Trent Jr.,17280000,2
OG Anunoby,18000000,3
Chris Boucher,11750000,3
Jakob Poeltl,8750000,1
Thaddeus Young,8000000,2
Scottie Barnes,8266165,3
Otto Porter Jr.,6150000,2
Precious Achiuwa,3128282,2
Malachi Flynn,2504346,2
Juancho Hernangomez,2298385,1
Dalano Banton,1244388,1
Christian Koloko,1746521,3
Joe Wieskamp,1236943,2
Russell Westbrook,41358814,1
Collin Sexton,17737500,4
Lauri Markkanen,16867727,3
Jordan Clarkson,12880000,2
Kelly Olynyk,12398374,2
Talen Horton-Tucker,10260000,2
Rudy Gay,6184500,2
Ochai Agbaji,4681591,4
Simone Fontecchio,3125000,2
Walker Kessler,3343105,4
Leandro Bolmaro,2951349,3
Damian Jones,2442525,2
Udoka Azubuike,2537811,1
Juan Toscano-Anderson,1902133,1
Bradley Beal,50203930,5
Kristaps Porzingis,31650600,2
Will Barton,15000000,1
Kyle Kuzma,13000000,2
Monte Morris,9258332,2
Delon Wright,8000000,2
Kendrick Nunn,5125000,1
Deni Avdija,5085337,2
Johnny Davis,5474627,4
Corey Kispert,4091102,3
Daniel Gafford,1532398,4
Taj Gibson,2905851,1
Anthony Gill,1916664,2
Vernon Carey Jr.,2193761,2
Isaiah Todd,1724924,3
